Id,AccountId,CreatedDate,ClosedDate,Status,Priority,Severity__c,Type,Resolution_Hours__c,Is_Escalated,Customer_Sentiment__c
500000000000001,001000000000001,2025-06-13,,Escalated,Critical,Sev2,Integration,,true,Neutral
500000000000002,001000000000002,2025-06-16,,Working,Critical,Sev2,Billing,,true,Negative
500000000000003,001000000000003,2025-06-26,,New,High,Sev1,Billing,,true,Neutral
500000000000004,001000000000004,2025-04-13,,Working,High,Sev2,Performance,,true,Neutral
500000000000005,001000000000005,2025-05-12,,Working,Critical,Sev2,Billing,,true,Neutral
500000000000006,001000000000006,2025-05-12,,Escalated,Critical,Sev2,Performance,,true,Neutral
500000000000007,001000000000007,2025-04-14,,New,Critical,Sev1,Bug,,true,Neutral
500000000000008,001000000000008,2025-06-08,,New,High,Sev1,Integration,,true,Negative
500000000000009,001000000000009,2025-06-04,,Working,High,Sev2,Bug,,true,Negative
500000000000010,001000000000010,2025-05-15,,Escalated,High,Sev2,Bug,,true,Negative
500000000000011,001000000000011,2025-04-07,,Escalated,High,Sev2,Integration,,true,Negative
500000000000012,001000000000012,2025-06-29,,Working,Critical,Sev2,Performance,,true,Negative
500000000000013,001000000000013,2025-04-12,,Working,Critical,Sev2,Performance,,true,Neutral
500000000000014,001000000000014,2025-06-29,,Working,Critical,Sev1,Billing,,true,Negative
500000000000015,001000000000015,2025-06-30,,Working,Critical,Sev1,Integration,,true,Neutral
500000000000016,001000000000016,2025-04-07,,Escalated,High,Sev2,Bug,,true,Neutral
500000000000017,001000000000017,2025-05-24,,Escalated,High,Sev1,How-to,,true,Negative
500000000000018,001000000000018,2025-05-04,,Escalated,High,Sev2,Billing,,true,Neutral
500000000000019,001000000000019,2025-05-07,,Escalated,Critical,Sev1,Billing,,true,Neutral
500000000000020,001000000000020,2025-04-02,,Working,Critical,Sev2,How-to,,true,Neutral
500000000000021,001000000000021,2025-05-09,,Escalated,High,Sev2,Integration,,true,Neutral
500000000000022,001000000000022,2025-04-15,,Working,High,Sev2,Bug,,true,Negative
500000000000023,001000000000023,2025-05-04,,New,Critical,Sev2,Bug,,true,Negative
500000000000024,001000000000024,2025-04-06,,Escalated,High,Sev2,How-to,,true,Negative
500000000000025,001000000000025,2025-05-21,,New,Critical,Sev1,Integration,,true,Negative
500000000000026,001000000000026,2025-05-30,,New,Critical,Sev2,Billing,,true,Neutral
500000000000027,001000000000027,2025-05-10,,Escalated,Critical,Sev2,Billing,,true,Negative
500000000000028,001000000000028,2025-04-07,,Escalated,High,Sev2,Bug,,true,Neutral
500000000000029,001000000000029,2025-04-14,,Escalated,High,Sev1,Performance,,true,Neutral
500000000000030,001000000000030,2025-05-28,,New,Critical,Sev2,Performance,,true,Negative
500000000000031,001000000000031,2025-05-06,,New,High,Sev2,Performance,,true,Negative
500000000000032,001000000000032,2025-04-18,,Escalated,Critical,Sev1,Bug,,true,Negative
500000000000033,001000000000033,2025-04-09,,Escalated,Critical,Sev2,Integration,,true,Neutral
500000000000034,001000000000034,2025-05-03,,Escalated,High,Sev1,Integration,,true,Negative
500000000000035,001000000000035,2025-05-31,,New,Critical,Sev2,Billing,,true,Neutral
500000000000036,001000000000036,2025-05-28,,New,Critical,Sev2,How-to,,true,Neutral
500000000000037,001000000000037,2025-04-07,,New,High,Sev2,How-to,,true,Negative
500000000000038,001000000000038,2025-05-30,,New,High,Sev2,Performance,,true,Negative
500000000000039,001000000000039,2025-05-06,,New,High,Sev2,Billing,,true,Neutral
500000000000040,001000000000040,2025-04-25,,Working,Critical,Sev2,Integration,,true,Neutral
500000000000041,001000000000041,2025-06-23,,Working,High,Sev2,Billing,,true,Neutral
500000000000042,001000000000042,2025-06-08,,Working,High,Sev1,Performance,,true,Negative
500000000000043,001000000000043,2025-05-10,,New,High,Sev1,Integration,,true,Negative
500000000000044,001000000000044,2025-04-06,,Working,Critical,Sev1,Billing,,true,Neutral
500000000000045,001000000000045,2025-04-04,,New,Critical,Sev1,Bug,,true,Neutral
500000000000046,001000000000046,2025-04-04,,New,High,Sev2,Integration,,true,Negative
500000000000047,001000000000047,2025-06-11,,New,Critical,Sev1,Performance,,true,Neutral
500000000000048,001000000000048,2025-04-02,,New,High,Sev2,Performance,,true,Negative
500000000000049,001000000000049,2025-04-25,,Escalated,High,Sev1,Bug,,true,Neutral
500000000000050,001000000000050,2025-05-01,,New,High,Sev1,How-to,,true,Neutral
500000000000051,001000000000051,2025-06-05,,New,Critical,Sev1,How-to,,true,Negative
500000000000052,001000000000052,2025-04-09,,New,Critical,Sev2,Performance,,true,Neutral
500000000000053,001000000000053,2025-04-14,,Escalated,High,Sev1,Billing,,true,Negative
500000000000054,001000000000054,2025-05-09,,Escalated,Critical,Sev1,Billing,,true,Neutral
500000000000055,001000000000055,2025-04-13,,New,Critical,Sev2,Integration,,true,Negative
500000000000056,001000000000056,2025-05-14,,Escalated,Critical,Sev1,Billing,,true,Negative
500000000000057,001000000000057,2025-06-18,,Working,High,Sev1,Billing,,true,Negative
500000000000058,001000000000058,2025-06-05,,New,Critical,Sev2,Performance,,true,Neutral
500000000000059,001000000000059,2025-06-06,,Escalated,High,Sev2,Billing,,true,Neutral
500000000000060,001000000000060,2025-05-13,,Working,Critical,Sev1,Bug,,true,Neutral
500000000000061,001000000000061,2025-04-22,,Working,Critical,Sev1,Bug,,true,Negative
500000000000062,001000000000062,2025-04-14,,Working,Critical,Sev1,Integration,,true,Neutral
500000000000063,001000000000063,2025-05-31,,Escalated,Critical,Sev2,Billing,,true,Negative
500000000000064,001000000000064,2025-06-19,,Working,Critical,Sev1,Bug,,true,Neutral
500000000000065,001000000000065,2025-06-25,,Working,Critical,Sev1,Bug,,true,Negative
500000000000066,001000000000066,2025-06-10,,Escalated,High,Sev2,Performance,,true,Negative
500000000000067,001000000000067,2025-04-26,,New,Critical,Sev1,Performance,,true,Negative
500000000000068,001000000000068,2025-05-06,,New,High,Sev2,Bug,,true,Negative
500000000000069,001000000000069,2025-05-10,,Working,High,Sev2,Bug,,true,Negative
500000000000070,001000000000070,2025-04-12,,Working,High,Sev1,Billing,,true,Neutral
500000000000071,001000000000071,2025-04-04,,Working,High,Sev1,Bug,,true,Negative
500000000000072,001000000000072,2025-06-17,,New,High,Sev1,Integration,,true,Negative
500000000000073,001000000000073,2025-05-31,,Working,High,Sev2,Bug,,true,Negative
500000000000074,001000000000074,2025-04-13,,Working,High,Sev1,How-to,,true,Negative
500000000000075,001000000000075,2025-05-13,,Working,High,Sev2,Performance,,true,Neutral
500000000000076,001000000000076,2025-04-14,,New,High,Sev1,Integration,,true,Negative
500000000000077,001000000000077,2025-05-13,,Escalated,High,Sev1,Performance,,true,Negative
500000000000078,001000000000078,2025-04-21,,New,Critical,Sev1,How-to,,true,Negative
500000000000079,001000000000079,2025-04-18,,New,Critical,Sev1,Billing,,true,Neutral
500000000000080,001000000000080,2025-04-04,,Escalated,High,Sev1,How-to,,true,Neutral
500000000000081,001000000000081,2025-06-13,,Escalated,Critical,Sev1,Integration,,true,Neutral
500000000000082,001000000000082,2025-05-30,,Working,High,Sev2,Performance,,true,Negative
