Id,Account__c,Start_Date__c,End_Date__c,Product_Family__c,ARR__c,Prior_ARR__c,Status__c,Renewal_Outcome__c,Churn_Reason__c,Renewal_Opportunity__c
a00000000000001,001000000000979,2024-01-02,2025-01-17,Platform,12138,12138,Active,Renewed,,
a00000000000002,001000000001398,2024-01-02,2025-01-07,Core,9976,9976,Active,Renewed,,
a00000000000003,001000000002176,2024-01-02,2025-01-16,Analytics,17145,17145,Active,Renewed,,
a00000000000004,001000000003419,2024-01-02,2025-01-01,Automation,13486,13486,Active,Renewed,,
a00000000000005,001000000000308,2024-01-02,2025-03-16,Analytics,9462,9462,Active,Renewed,,
a00000000000006,001000000000073,2024-01-02,2025-01-08,Platform,10093,10093,Active,Renewed,,
a00000000000007,001000000003577,2024-01-02,2025-01-13,Automation,22663,11256,Active,Renewed,,
a00000000000008,001000000000652,2024-01-02,2025-03-27,Platform,23892,16985,Active,Renewed,,
a00000000000009,001000000002115,2024-01-02,2025-03-18,Analytics,15083,17378,Active,Downgraded,,
a00000000000010,001000000000666,2024-01-02,2025-03-13,Automation,10718,12532,Active,Downgraded,,
a00000000000011,001000000004151,2024-01-02,2025-02-07,Core,8718,8718,Active,Renewed,,
a00000000000012,001000000001075,2024-01-02,2025-03-02,Analytics,13144,13144,Active,Renewed,,
a00000000000013,001000000001264,2024-01-02,2025-03-07,Platform,23025,10395,Active,Renewed,,
a00000000000014,001000000001783,2024-01-02,2025-03-09,Core,15689,15689,Active,Renewed,,
a00000000000015,001000000001420,2024-01-02,2025-01-18,Analytics,19335,14714,Active,Renewed,,
a00000000000016,001000000002575,2024-01-02,2025-03-15,Automation,8148,8148,Active,Renewed,,
a00000000000017,001000000003854,2024-01-02,2025-03-14,Platform,24152,13914,Active,Renewed,,
a00000000000018,001000000000468,2024-01-02,2025-01-09,Analytics,8264,8264,Active,Renewed,,
a00000000000019,001000000002183,2024-01-02,2025-01-30,Analytics,26279,15168,Active,Renewed,,
a00000000000020,001000000001407,2024-01-02,2025-03-06,Automation,12919,12919,Active,Renewed,,
a00000000000021,001000000002549,2024-01-02,2025-01-31,Core,9909,9909,Active,Renewed,,
a00000000000022,001000000004893,2024-01-02,2025-03-14,Automation,16874,16874,Active,Renewed,,
a00000000000023,001000000002215,2024-01-02,2025-02-18,Automation,24950,10689,Active,Renewed,,
a00000000000024,001000000003620,2024-01-02,2025-02-09,Core,16586,16586,Active,Renewed,,
a00000000000025,001000000002891,2024-01-02,2025-03-18,Automation,26790,12298,Active,Renewed,,
a00000000000026,001000000002967,2024-01-02,2025-03-12,Automation,28806,14530,Active,Renewed,,
a00000000000027,001000000004553,2024-01-02,2025-02-14,Core,11906,11906,Active,Renewed,,
a00000000000028,001000000002776,2024-01-02,2025-03-09,Platform,11766,15189,Active,Downgraded,,
a00000000000029,001000000000673,2024-01-02,2025-02-08,Platform,16587,11926,Active,Renewed,,
a00000000000030,001000000002024,2024-01-02,2025-02-03,Core,11284,11284,Active,Renewed,,
a00000000000031,001000000000619,2024-01-02,2025-02-26,Analytics,10998,14799,Active,Downgraded,,
a00000000000032,001000000003917,2024-01-02,2025-03-31,Automation,22230,16606,Active,Renewed,,
a00000000000033,001000000004229,2024-01-02,2025-03-07,Analytics,10017,10017,Active,Renewed,,
a00000000000034,001000000004623,2024-01-02,2025-01-14,Platform,10666,10666,Active,Renewed,,
a00000000000035,001000000000729,2024-01-02,2025-01-23,Core,5387,8802,Active,Downgraded,,
a00000000000036,001000000002518,2024-01-02,2025-02-26,Analytics,10386,10386,Active,Renewed,,
a00000000000037,001000000000911,2024-01-02,2025-03-12,Automation,16682,8974,Active,Renewed,,
a00000000000038,001000000000147,2024-01-02,2025-03-09,Automation,16575,9914,Active,Renewed,,
a00000000000039,001000000004102,2024-01-02,2025-02-14,Automation,9618,11188,Active,Downgraded,,
a00000000000040,001000000002165,2024-01-02,2025-02-25,Core,11611,13178,Active,Downgraded,,
a00000000000041,001000000000662,2024-01-02,2025-03-03,Core,8845,8845,Active,Renewed,,
a00000000000042,001000000001503,2024-01-02,2025-02-21,Analytics,12118,14675,Active,Downgraded,,
a00000000000043,001000000001443,2024-01-02,2025-03-29,Analytics,29417,16144,Active,Renewed,,
a00000000000044,001000000001568,2024-01-02,2025-02-26,Automation,10803,10803,Active,Renewed,,
a00000000000045,001000000002558,2024-01-02,2025-01-29,Platform,9198,9198,Active,Renewed,,
a00000000000046,001000000000413,2024-01-02,2025-03-01,Analytics,9330,9330,Active,Renewed,,
a00000000000047,001000000000361,2024-01-02,2025-01-30,Core,10020,10020,Active,Renewed,,
a00000000000048,001000000000526,2024-01-02,2025-01-02,Automation,7855,9594,Active,Downgraded,,
a00000000000049,001000000003637,2024-01-02,2025-02-28,Core,22459,9717,Active,Renewed,,
a00000000000050,001000000001906,2024-01-02,2025-03-10,Analytics,10696,13482,Active,Downgraded,,
a00000000000051,001000000003314,2024-01-02,2025-03-15,Core,13700,13700,Active,Renewed,,
a00000000000052,001000000002774,2024-01-02,2025-03-06,Platform,11684,11684,Active,Renewed,,
a00000000000053,001000000002872,2024-01-02,2025-01-17,Analytics,7827,7827,Active,Renewed,,
a00000000000054,001000000001356,2024-01-02,2025-01-31,Platform,9306,9306,Active,Renewed,,
a00000000000055,001000000001737,2024-01-02,2025-01-21,Analytics,13071,13071,Active,Renewed,,
a00000000000056,001000000004175,2024-01-02,2025-03-14,Platform,7836,7836,Active,Renewed,,
a00000000000057,001000000004880,2024-01-02,2025-03-16,Platform,16400,16400,Active,Renewed,,
a00000000000058,001000000000361,2024-01-02,2025-03-30,Automation,13290,13290,Active,Renewed,,
a00000000000059,001000000000658,2024-01-02,2025-01-03,Automation,16888,16888,Active,Renewed,,
a00000000000060,001000000000495,2024-01-02,2025-03-12,Platform,11446,11446,Active,Renewed,,
a00000000000061,001000000002959,2024-01-02,2025-02-13,Core,8984,8984,Active,Renewed,,
a00000000000062,001000000000756,2024-01-02,2025-01-01,Analytics,11857,11857,Active,Renewed,,
a00000000000063,001000000000897,2024-01-02,2025-01-01,Platform,10088,10088,Active,Renewed,,
a00000000000064,001000000003423,2024-01-02,2025-01-25,Automation,14050,14050,Active,Renewed,,
a00000000000065,001000000002513,2024-01-02,2025-01-11,Core,11199,11199,Active,Renewed,,
a00000000000066,001000000004943,2024-01-02,2025-01-18,Analytics,17600,7919,Active,Renewed,,
a00000000000067,001000000000999,2024-01-02,2025-01-29,Platform,11003,11003,Active,Renewed,,
a00000000000068,001000000000492,2024-01-02,2025-01-14,Platform,8160,8160,Active,Renewed,,
a00000000000069,001000000001140,2024-01-02,2025-02-25,Core,19415,14671,Active,Renewed,,
a00000000000070,001000000004129,2024-01-02,2025-03-11,Analytics,16657,16657,Active,Renewed,,
a00000000000071,001000000003270,2024-01-02,2025-01-08,Platform,13939,13939,Active,Renewed,,
a00000000000072,001000000000105,2024-01-02,2025-02-04,Core,8767,8767,Active,Renewed,,
a00000000000073,001000000001506,2024-01-02,2025-01-31,Analytics,15607,15607,Active,Renewed,,
a00000000000074,001000000004893,2024-01-02,2025-02-16,Core,5878,7977,Active,Downgraded,,
a00000000000075,001000000001527,2024-01-02,2025-02-10,Platform,9246,9246,Active,Renewed,,
a00000000000076,001000000004671,2024-01-02,2025-01-22,Automation,11404,11404,Active,Renewed,,
a00000000000077,001000000000440,2024-01-02,2025-01-04,Automation,12213,7816,Active,Renewed,,
a00000000000078,001000000004390,2024-01-02,2025-02-09,Analytics,16160,16160,Active,Renewed,,
a00000000000079,001000000001684,2024-01-02,2025-03-05,Automation,16323,16323,Active,Renewed,,
a00000000000080,001000000001162,2024-01-02,2025-01-11,Automation,10801,12188,Active,Downgraded,,
a00000000000081,001000000000481,2024-01-02,2025-02-03,Analytics,25055,11944,Active,Renewed,,
a00000000000082,001000000003352,2024-01-02,2025-03-03,Automation,9244,9244,Active,Renewed,,
a00000000000083,001000000003403,2024-01-02,2025-02-25,Analytics,16615,8905,Active,Renewed,,
a00000000000084,001000000003786,2024-01-02,2025-01-15,Core,12348,12348,Active,Renewed,,
a00000000000085,001000000001399,2024-01-02,2025-02-26,Analytics,10862,10862,Active,Renewed,,
a00000000000086,001000000002264,2024-01-02,2025-02-01,Automation,12892,16385,Active,Downgraded,,
a00000000000087,001000000003680,2024-01-02,2025-02-19,Core,12520,12520,Active,Renewed,,
a00000000000088,001000000004232,2024-01-02,2025-03-14,Platform,8495,8495,Active,Renewed,,
a00000000000089,001000000003131,2024-01-02,2025-03-23,Automation,16010,16010,Active,Renewed,,
a00000000000090,001000000001999,2024-01-02,2025-01-13,Core,6858,10603,Active,Downgraded,,
a00000000000091,001000000001891,2024-01-02,2025-03-22,Core,22945,13089,Active,Renewed,,
a00000000000092,001000000000860,2024-01-02,2025-02-04,Analytics,11067,11067,Active,Renewed,,
a00000000000093,001000000002126,2024-01-02,2025-02-16,Platform,12293,12293,Active,Renewed,,
a00000000000094,001000000002502,2024-01-02,2025-02-12,Automation,10682,10682,Active,Renewed,,
a00000000000095,001000000004751,2024-01-02,2025-02-15,Analytics,11233,11233,Active,Renewed,,
a00000000000096,001000000002661,2024-01-02,2025-02-17,Analytics,22414,13191,Active,Renewed,,
a00000000000097,001000000002844,2024-01-02,2025-01-17,Platform,17297,17297,Active,Renewed,,
a00000000000098,001000000004676,2024-01-02,2025-01-18,Core,7970,7970,Active,Renewed,,
a00000000000099,001000000002192,2024-01-02,2025-01-18,Platform,10043,10043,Active,Renewed,,
a00000000000100,001000000002136,2024-01-02,2025-03-17,Analytics,21159,12531,Active,Renewed,,
a00000000000101,001000000000977,2024-01-02,2025-03-27,Automation,20972,12262,Active,Renewed,,
a00000000000102,001000000000755,2024-01-02,2025-02-22,Automation,14874,14874,Active,Renewed,,
a00000000000103,001000000000213,2024-01-02,2025-01-20,Core,12466,8336,Active,Renewed,,
a00000000000104,001000000001512,2024-01-02,2025-02-07,Core,11078,11078,Active,Renewed,,
a00000000000105,001000000003988,2024-01-02,2025-03-17,Analytics,16449,16449,Active,Renewed,,
a00000000000106,001000000004927,2024-01-02,2025-03-05,Core,12409,12409,Active,Renewed,,
a00000000000107,001000000000019,2024-01-02,2025-03-03,Analytics,17734,12723,Active,Renewed,,
a00000000000108,001000000000304,2024-01-02,2025-03-08,Platform,25548,17446,Active,Renewed,,
a00000000000109,001000000001968,2024-01-02,2025-02-04,Platform,15841,15841,Active,Renewed,,
a00000000000110,001000000000066,2024-01-02,2025-03-15,Core,9599,9599,Active,Renewed,,
a00000000000111,001000000001527,2024-01-02,2025-03-17,Platform,15469,15469,Active,Renewed,,
a00000000000112,001000000003799,2024-01-02,2025-03-17,Analytics,11792,11792,Active,Renewed,,
a00000000000113,001000000001063,2024-01-02,2025-02-03,Core,7843,10271,Active,Downgraded,,
a00000000000114,001000000004007,2024-01-02,2025-02-28,Analytics,13741,13741,Active,Renewed,,
a00000000000115,001000000002153,2024-01-02,2025-02-11,Core,28423,16296,Active,Renewed,,
a00000000000116,001000000000240,2024-01-02,2025-01-31,Analytics,16118,16118,Active,Renewed,,
a00000000000117,001000000003028,2024-01-02,2025-03-25,Platform,14978,14978,Active,Renewed,,
a00000000000118,001000000002565,2024-01-02,2025-03-08,Core,7215,10696,Active,Downgraded,,
a00000000000119,001000000004552,2024-01-02,2025-01-04,Core,20011,15207,Active,Renewed,,
a00000000000120,001000000004040,2024-01-02,2025-03-26,Analytics,10960,10960,Active,Renewed,,
a00000000000121,001000000002106,2024-01-02,2025-03-19,Analytics,20081,10757,Active,Renewed,,
a00000000000122,001000000004489,2024-01-02,2025-02-05,Automation,14110,14110,Active,Renewed,,
a00000000000123,001000000001939,2024-01-02,2025-01-30,Analytics,7192,9562,Active,Downgraded,,
a00000000000124,001000000004305,2024-01-02,2025-02-22,Platform,15319,8148,Active,Renewed,,
a00000000000125,001000000000292,2024-01-02,2025-01-09,Platform,23845,17029,Active,Renewed,,
a00000000000126,001000000003592,2024-01-02,2025-03-11,Automation,8537,8537,Active,Renewed,,
a00000000000127,001000000000938,2024-01-02,2025-01-22,Analytics,12981,12981,Active,Renewed,,
a00000000000128,001000000000200,2024-01-02,2025-02-28,Automation,11551,14971,Active,Downgraded,,
a00000000000129,001000000001958,2024-01-02,2025-03-23,Platform,13304,8803,Active,Renewed,,
a00000000000130,001000000000346,2024-01-02,2025-01-30,Automation,14468,10544,Active,Renewed,,
a00000000000131,001000000002530,2024-01-02,2025-02-08,Core,9604,9604,Active,Renewed,,
a00000000000132,001000000000157,2024-01-02,2025-02-12,Automation,16368,7774,Active,Renewed,,
a00000000000133,001000000000638,2024-01-02,2025-03-20,Automation,8084,8084,Active,Renewed,,
a00000000000134,001000000001214,2024-01-02,2025-01-17,Automation,12975,12975,Active,Renewed,,
a00000000000135,001000000000001,2024-01-02,2025-02-26,Platform,19417,10742,Active,Renewed,,
a00000000000136,001000000001959,2024-01-02,2025-02-24,Core,10209,10209,Active,Renewed,,
a00000000000137,001000000004089,2024-01-02,2025-01-06,Core,8638,12260,Active,Downgraded,,
a00000000000138,001000000000196,2024-01-02,2025-02-24,Platform,14340,14340,Active,Renewed,,
a00000000000139,001000000002493,2024-01-02,2025-01-26,Automation,6561,8188,Active,Downgraded,,
a00000000000140,001000000004549,2024-01-02,2025-01-22,Core,14430,14430,Active,Renewed,,
a00000000000141,001000000003876,2024-01-02,2025-01-23,Analytics,12679,13810,Active,Downgraded,,
a00000000000142,001000000004386,2024-01-02,2025-02-17,Analytics,10093,10093,Active,Renewed,,
a00000000000143,001000000003932,2024-01-02,2025-01-29,Automation,16273,16273,Active,Renewed,,
a00000000000144,001000000001142,2024-01-02,2025-02-17,Core,14018,14018,Active,Renewed,,
a00000000000145,001000000000918,2024-01-02,2025-01-08,Analytics,12278,8047,Active,Renewed,,
a00000000000146,001000000001633,2024-01-02,2025-03-27,Platform,11309,15017,Active,Downgraded,,
a00000000000147,001000000004254,2024-01-02,2025-03-06,Core,12400,12400,Active,Renewed,,
a00000000000148,001000000002745,2024-01-02,2025-03-04,Analytics,8296,8296,Active,Renewed,,
a00000000000149,001000000000140,2024-01-02,2025-02-07,Platform,16503,9745,Active,Renewed,,
a00000000000150,001000000002129,2024-01-02,2025-03-05,Platform,17788,10819,Active,Renewed,,
a00000000000151,001000000003721,2024-01-02,2025-01-25,Analytics,14755,14755,Active,Renewed,,
a00000000000152,001000000003757,2024-01-02,2025-01-03,Analytics,8443,8443,Active,Renewed,,
a00000000000153,001000000000707,2024-01-02,2025-01-10,Platform,8930,8930,Active,Renewed,,
a00000000000154,001000000002169,2024-01-02,2025-01-02,Platform,15307,15307,Active,Renewed,,
a00000000000155,001000000001078,2024-01-02,2025-03-14,Automation,14868,14868,Active,Renewed,,
a00000000000156,001000000000170,2024-01-02,2025-03-25,Platform,12020,12020,Active,Renewed,,
a00000000000157,001000000002275,2024-01-02,2025-03-31,Automation,14516,17085,Active,Downgraded,,
a00000000000158,001000000003617,2024-01-02,2025-03-18,Analytics,10882,10882,Active,Renewed,,
a00000000000159,001000000002579,2024-01-02,2025-02-23,Platform,13688,8695,Active,Renewed,,
a00000000000160,001000000002077,2024-01-02,2025-01-13,Platform,11374,14179,Active,Downgraded,,
a00000000000161,001000000002909,2024-01-02,2025-03-12,Platform,17452,9214,Active,Renewed,,
a00000000000162,001000000004702,2024-01-02,2025-03-18,Analytics,13792,13792,Active,Renewed,,
a00000000000163,001000000000582,2024-01-02,2025-01-05,Automation,16784,16784,Active,Renewed,,
a00000000000164,001000000001149,2024-01-02,2025-03-09,Platform,17306,17306,Active,Renewed,,
a00000000000165,001000000003940,2024-01-02,2025-02-17,Automation,9562,13212,Active,Downgraded,,
a00000000000166,001000000000179,2024-01-02,2025-03-28,Core,11119,11119,Active,Renewed,,
a00000000000167,001000000003687,2024-01-02,2025-03-12,Platform,22487,13163,Active,Renewed,,
a00000000000168,001000000003575,2024-01-02,2025-02-18,Automation,7834,7834,Active,Renewed,,
a00000000000169,001000000000495,2024-01-02,2025-01-02,Automation,15236,15236,Active,Renewed,,
a00000000000170,001000000002659,2024-01-02,2025-02-01,Platform,14857,16306,Active,Downgraded,,
a00000000000171,001000000000409,2024-01-02,2025-01-02,Platform,26646,14612,Active,Renewed,,
a00000000000172,001000000003241,2024-01-02,2025-01-05,Core,18351,9815,Active,Renewed,,
a00000000000173,001000000000506,2024-01-02,2025-03-08,Core,26753,15928,Active,Renewed,,
a00000000000174,001000000003890,2024-01-02,2025-02-08,Automation,17320,17320,Active,Renewed,,
a00000000000175,001000000000363,2024-01-02,2025-01-07,Core,23583,10359,Active,Renewed,,
a00000000000176,001000000000043,2024-01-02,2025-03-08,Automation,10165,10165,Active,Renewed,,
a00000000000177,001000000002537,2024-01-02,2025-01-02,Analytics,11891,11891,Active,Renewed,,
a00000000000178,001000000001459,2024-01-02,2025-01-21,Automation,11753,15199,Active,Downgraded,,
a00000000000179,001000000003965,2024-01-02,2025-03-15,Platform,12111,12111,Active,Renewed,,
a00000000000180,001000000004912,2024-01-02,2025-03-07,Analytics,9918,9918,Active,Renewed,,
a00000000000181,001000000000619,2024-01-02,2025-02-24,Core,15963,15963,Active,Renewed,,
a00000000000182,001000000002970,2024-01-02,2025-01-28,Analytics,12505,12505,Active,Renewed,,
a00000000000183,001000000004248,2024-01-02,2025-01-04,Automation,9260,9260,Active,Renewed,,
a00000000000184,001000000000776,2024-01-02,2025-03-14,Analytics,8988,8988,Active,Renewed,,
a00000000000185,001000000000139,2024-01-02,2025-01-23,Platform,10106,10106,Active,Renewed,,
a00000000000186,001000000000463,2024-01-02,2025-01-07,Automation,13393,13393,Active,Renewed,,
a00000000000187,001000000003376,2024-01-02,2025-01-15,Platform,11478,12431,Active,Downgraded,,
a00000000000188,001000000001850,2024-01-02,2025-01-25,Core,21879,9396,Active,Renewed,,
a00000000000189,001000000001694,2024-01-02,2025-03-25,Analytics,11621,14547,Active,Downgraded,,
a00000000000190,001000000003425,2024-01-02,2025-01-20,Analytics,14230,14230,Active,Renewed,,
a00000000000191,001000000000288,2024-01-02,2025-03-05,Platform,21359,17223,Active,Renewed,,
a00000000000192,001000000003101,2024-01-02,2025-01-07,Core,16547,16547,Active,Renewed,,
a00000000000193,001000000002919,2024-01-02,2025-02-24,Core,10875,10875,Active,Renewed,,
a00000000000194,001000000003307,2024-01-02,2025-02-08,Core,14042,14042,Active,Renewed,,
a00000000000195,001000000000239,2024-01-02,2025-01-28,Analytics,13047,13047,Active,Renewed,,
a00000000000196,001000000000743,2024-01-02,2025-03-17,Analytics,14866,14866,Active,Renewed,,
a00000000000197,001000000001498,2024-01-02,2025-02-18,Analytics,16926,12342,Active,Renewed,,
a00000000000198,001000000000835,2024-01-02,2025-03-03,Automation,11215,11215,Active,Renewed,,
a00000000000199,001000000003493,2024-01-02,2025-02-09,Automation,14982,17165,Active,Downgraded,,
a00000000000200,001000000001525,2024-01-02,2025-01-15,Analytics,7891,7891,Active,Renewed,,
a00000000000201,001000000001252,2024-01-02,2025-01-14,Analytics,8075,8075,Active,Renewed,,
a00000000000202,001000000000219,2024-01-02,2025-03-13,Platform,17111,17111,Active,Renewed,,
a00000000000203,001000000003228,2024-01-02,2025-01-14,Analytics,15696,15696,Active,Renewed,,
a00000000000204,001000000001856,2024-01-02,2025-03-08,Automation,10705,10705,Active,Renewed,,
a00000000000205,001000000002050,2024-01-02,2025-01-17,Platform,12781,16641,Active,Downgraded,,
a00000000000206,001000000003860,2024-01-02,2025-03-31,Platform,8027,10289,Active,Downgraded,,
a00000000000207,001000000001751,2024-01-02,2025-03-20,Core,15594,15594,Active,Renewed,,
a00000000000208,001000000000250,2024-01-02,2025-02-04,Analytics,16594,12614,Active,Renewed,,
a00000000000209,001000000001078,2024-01-02,2025-03-10,Analytics,10075,10075,Active,Renewed,,
a00000000000210,001000000001375,2024-01-02,2025-01-09,Platform,14469,14469,Active,Renewed,,
a00000000000211,001000000002990,2024-01-02,2025-01-29,Automation,12828,12828,Active,Renewed,,
a00000000000212,001000000000670,2024-01-02,2025-01-19,Analytics,14947,14947,Active,Renewed,,
a00000000000213,001000000003160,2024-01-02,2025-02-25,Platform,12898,12898,Active,Renewed,,
a00000000000214,001000000002060,2024-01-02,2025-03-12,Analytics,15519,15519,Active,Renewed,,
a00000000000215,001000000003598,2024-01-02,2025-01-28,Core,8369,8369,Active,Renewed,,
a00000000000216,001000000000531,2024-01-02,2025-03-09,Analytics,11695,11695,Active,Renewed,,
a00000000000217,001000000001293,2024-01-02,2025-03-16,Platform,14047,14047,Active,Renewed,,
a00000000000218,001000000004512,2024-01-02,2025-03-06,Core,14961,14961,Active,Renewed,,
a00000000000219,001000000000852,2024-01-02,2025-03-25,Platform,17483,11954,Active,Renewed,,
a00000000000220,001000000003046,2024-01-02,2025-03-06,Platform,16963,16963,Active,Renewed,,
a00000000000221,001000000000842,2024-01-02,2025-02-06,Automation,18557,10303,Active,Renewed,,
a00000000000222,001000000001650,2024-01-02,2025-01-10,Core,12138,12138,Active,Renewed,,
a00000000000223,001000000001377,2024-01-02,2025-03-16,Platform,7879,11165,Active,Downgraded,,
a00000000000224,001000000003027,2024-01-02,2025-03-28,Platform,12924,12924,Active,Renewed,,
a00000000000225,001000000004658,2024-01-02,2025-03-20,Core,16457,16457,Active,Renewed,,
a00000000000226,001000000004694,2024-01-02,2025-02-03,Analytics,14969,14969,Active,Renewed,,
a00000000000227,001000000004032,2024-01-02,2025-02-07,Analytics,20632,16231,Active,Renewed,,
a00000000000228,001000000003950,2024-01-02,2025-01-18,Platform,11697,13267,Active,Downgraded,,
a00000000000229,001000000001010,2024-01-02,2025-01-24,Platform,8154,8154,Active,Renewed,,
a00000000000230,001000000002147,2024-01-02,2025-01-12,Core,21919,9092,Active,Renewed,,
a00000000000231,001000000002848,2024-01-02,2025-03-13,Automation,9686,9686,Active,Renewed,,
a00000000000232,001000000000327,2024-01-02,2025-01-16,Core,14617,14617,Active,Renewed,,
a00000000000233,001000000002135,2024-01-02,2025-01-14,Platform,8637,10846,Active,Downgraded,,
a00000000000234,001000000003355,2024-01-02,2025-03-21,Automation,11845,14067,Active,Downgraded,,
a00000000000235,001000000002377,2024-01-02,2025-01-15,Core,10647,10647,Active,Renewed,,
a00000000000236,001000000001828,2024-01-02,2025-01-07,Automation,11912,13909,Active,Downgraded,,
a00000000000237,001000000000536,2024-01-02,2025-02-02,Platform,13585,13585,Active,Renewed,,
a00000000000238,001000000001582,2024-01-02,2025-01-05,Core,11526,11526,Active,Renewed,,
a00000000000239,001000000000861,2024-01-02,2025-01-11,Automation,14424,17002,Active,Downgraded,,
a00000000000240,001000000001546,2024-01-02,2025-01-07,Analytics,9625,9625,Active,Renewed,,
a00000000000241,001000000004050,2024-01-02,2025-03-08,Platform,15131,10944,Active,Renewed,,
a00000000000242,001000000001764,2024-01-02,2025-01-15,Analytics,12143,12143,Active,Renewed,,
a00000000000243,001000000002054,2024-01-02,2025-01-24,Core,9659,12118,Active,Downgraded,,
a00000000000244,001000000002771,2024-01-02,2025-01-25,Analytics,12041,12041,Active,Renewed,,
a00000000000245,001000000000063,2024-01-02,2025-02-06,Core,21197,11017,Active,Renewed,,
a00000000000246,001000000002449,2024-01-02,2025-03-28,Platform,17392,17392,Active,Renewed,,
a00000000000247,001000000003151,2024-01-02,2025-01-09,Automation,15088,15088,Active,Renewed,,
a00000000000248,001000000001968,2024-01-02,2025-03-08,Platform,10715,10715,Active,Renewed,,
a00000000000249,001000000003286,2024-01-02,2025-02-21,Analytics,12354,12354,Active,Renewed,,
a00000000000250,001000000001400,2024-01-02,2025-03-25,Platform,8700,8700,Active,Renewed,,
a00000000000251,001000000002160,2024-01-02,2025-02-08,Automation,17081,11622,Active,Renewed,,
a00000000000252,001000000004767,2024-01-02,2025-02-10,Automation,16235,16235,Active,Renewed,,
a00000000000253,001000000000797,2024-01-02,2025-01-31,Automation,14768,14768,Active,Renewed,,
a00000000000254,001000000003130,2024-01-02,2025-01-31,Analytics,6903,9960,Active,Downgraded,,
a00000000000255,001000000001080,2024-01-02,2025-03-08,Core,7182,9923,Active,Downgraded,,
