Id,AccountId,WhatId,ActivityDate,CreatedDate,Type,Subject,Status,Owner_Role__c,Is_Executive_Touch__c,Is_CSM_Touch__c,Days_Before_Renewal__c
00T000000000001,001000000002297,,2025-09-30,2025-09-25,QBR,Support check-in,Completed,Support,false,false,113
00T000000000002,001000000001535,,2024-09-14,2024-09-10,QBR,Customer follow-up,Completed,CSM,false,true,226
00T000000000003,001000000002396,,2024-04-27,2024-04-25,Meeting,Product adoption review,Completed,AE,false,false,695
00T000000000004,001000000004457,,2025-01-09,2025-01-04,QBR,Product adoption review,Open,AE,false,false,356
00T000000000005,001000000003163,,2024-06-11,2024-06-10,Renewal Review,Customer follow-up,Completed,AE,false,false,314
00T000000000006,001000000004516,,2024-02-11,2024-02-09,Meeting,Product adoption review,Completed,SDR,false,false,458
00T000000000007,001000000000393,,2024-11-17,2024-11-13,Meeting,Product adoption review,Completed,AE,false,false,442
00T000000000008,001000000004617,,2024-05-02,2024-05-02,Email,Renewal planning,Completed,AE,true,false,364
00T000000000009,001000000002517,,2025-09-25,2025-09-20,Email,Product adoption review,Open,Support,false,false,71
00T000000000010,001000000004390,,2024-10-21,2024-10-21,QBR,Support check-in,Completed,CSM,false,true,383
00T000000000011,001000000001010,,2025-02-25,2025-02-23,Meeting,Product adoption review,Open,AE,false,false,234
00T000000000012,001000000004162,,2024-11-12,2024-11-11,Call,Support check-in,Completed,AE,false,false,277
00T000000000013,001000000001115,,2025-02-13,2025-02-10,Call,Support check-in,Completed,AE,false,false,374
00T000000000014,001000000001076,,2024-02-26,2024-02-22,Call,Support check-in,Completed,Support,false,false,508
00T000000000015,001000000002069,,2024-12-15,2024-12-10,Renewal Review,Renewal planning,Completed,SDR,false,false,397
00T000000000016,001000000002975,,2025-03-05,2025-03-01,Email,Renewal planning,Completed,CSM,false,true,133
00T000000000017,001000000004147,,2024-10-11,2024-10-07,Call,Product adoption review,Completed,Support,false,false,365
00T000000000018,001000000003337,,2025-04-23,2025-04-22,Email,Support check-in,Completed,AE,false,false,6
00T000000000019,001000000002058,,2025-05-18,2025-05-17,Email,Renewal planning,Open,SDR,false,false,-40
00T000000000020,001000000000205,,2024-12-06,2024-12-05,Renewal Review,Support check-in,Completed,Support,false,false,415
00T000000000021,001000000001548,,2025-09-15,2025-09-13,Renewal Review,Customer follow-up,Completed,Support,false,false,63
00T000000000022,001000000001192,,2024-08-24,2024-08-22,Renewal Review,Product adoption review,Completed,AE,false,false,385
00T000000000023,001000000001865,,2024-06-21,2024-06-21,Meeting,Product adoption review,Completed,Support,false,false,502
00T000000000024,001000000003601,,2025-08-13,2025-08-10,Email,Renewal planning,Open,Support,false,false,187
00T000000000025,001000000000901,,2025-06-20,2025-06-20,Email,Support check-in,Completed,Support,false,false,270
00T000000000026,001000000002015,,2024-12-04,2024-11-29,Renewal Review,Renewal planning,Completed,SDR,false,false,321
00T000000000027,001000000002680,,2024-03-02,2024-03-01,Call,Customer follow-up,Open,AE,false,false,744
00T000000000028,001000000001150,,2025-01-23,2025-01-23,QBR,Product adoption review,Open,SDR,false,false,330
00T000000000029,001000000003111,,2025-09-15,2025-09-13,QBR,Product adoption review,Completed,SDR,true,false,151
00T000000000030,001000000002653,,2025-08-05,2025-08-05,Meeting,Renewal planning,Completed,Support,false,false,-49
00T000000000031,001000000000563,,2024-02-19,2024-02-18,Meeting,Product adoption review,Completed,SDR,false,false,645
00T000000000032,001000000002962,,2024-08-10,2024-08-10,Meeting,Support check-in,Completed,Support,true,false,429
00T000000000033,001000000002100,,2024-09-24,2024-09-23,QBR,Product adoption review,Completed,AE,false,false,254
00T000000000034,001000000000935,,2025-06-26,2025-06-21,Call,Support check-in,Completed,AE,false,false,22
00T000000000035,001000000002173,,2024-06-27,2024-06-25,Meeting,Product adoption review,Open,AE,false,false,289
00T000000000036,001000000000828,,2024-05-22,2024-05-18,Email,Support check-in,Open,SDR,false,false,643
00T000000000037,001000000004491,,2025-03-19,2025-03-15,Email,Support check-in,Completed,AE,false,false,50
00T000000000038,001000000004656,,2025-05-29,2025-05-26,Call,Product adoption review,Completed,CSM,false,true,271
00T000000000039,001000000003279,,2024-02-04,2024-01-30,Email,Support check-in,Completed,SDR,false,false,549
00T000000000040,001000000002508,,2024-01-29,2024-01-28,Email,Product adoption review,Completed,SDR,false,false,521
00T000000000041,001000000004371,,2025-06-07,2025-06-07,Email,Product adoption review,Completed,Support,false,false,179
